id,titulo,descripcion,año,puntuacion,genero,tipo
1,"Inception","Un ladrón que roba secretos entrando en los sueños de las personas recibe la misión de plantar una idea.",2010,null,"Ciencia ficción","pelicula"
2,"Interstellar","Un grupo de astronautas viaja a través de un agujero de gusano en busca de un nuevo hogar para la humanidad.",2014,8.6,"Ciencia ficción","pelicula"
3,"The Dark Knight","Batman enfrenta al Joker, un criminal que siembra el caos en Gotham City.",2008,9,"Acción","pelicula"
4,"Pulp Fiction","Varias historias de crimen se entrelazan en Los Ángeles.",1994,8.9,"Crimen","pelicula"
5,"Forrest Gump","La vida extraordinaria de un hombre ordinario que es testigo de eventos históricos.",1994,8.8,"Drama","pelicula"
6,"Avengers: Endgame","Los Vengadores buscan revertir los efectos del chasquido de Thanos.",2019,8.4,"Acción","pelicula"
7,"El Padrino","La poderosa familia mafiosa Corleone lucha por mantener su imperio criminal.",1972,9.2,"Crimen","pelicula"
8,"Spider-Man: No Way Home","Peter Parker pide ayuda al Doctor Strange para que el mundo olvide que es Spider-Man.",2021,8.3,"Acción","pelicula"
9,"The Shawshank Redemption","Un banquero inocente construye una amistad en prisión mientras busca su libertad.",1994,9.3,"Drama","pelicula"
10,"Toy Story","Los juguetes de Andy cobran vida cuando los humanos no están presentes.",1995,8.3,"Animación","pelicula"
11,"El viaje de Chihiro","Una niña queda atrapada en un mundo espiritual y debe trabajar para rescatar a sus padres.",2001,9.3,"Anime","pelicula"
12,"Tu nombre","Dos adolescentes descubren que intercambian cuerpos misteriosamente mientras duermen.",2016,9,"Anime","pelicula"
13,"Akira","En un Tokio cyberpunk, un motociclista desencadena poderes psíquicos que amenazan la ciudad.",1988,8.5,"Anime","pelicula"
14,"La princesa Mononoke","Un joven guerrero queda atrapado en el conflicto entre los dioses del bosque y los humanos.",1997,8.7,"Anime","pelicula"
15,"A Silent Voice","Un joven busca redimirse con una chica sorda a la que acosó en la escuela primaria.",2016,8.9,"Anime","pelicula"
16,"Titanic","Un romance trágico entre dos personas de distintas clases sociales a bordo del famoso transatlántico.",1997,8.5,"Drama","pelicula"
17,"Whiplash","Un joven baterista obsesionado con la perfección enfrenta a un instructor despiadado.",2014,8.8,"Drama","pelicula"
18,"Jurassic Park","Un parque temático con dinosaurios clonados se convierte en una pesadilla cuando los animales escapan.",1993,8.2,"Aventura","pelicula"
19,"The Avengers","Los héroes más poderosos de la Tierra se unen para detener la invasión de Loki.",2012,8.1,"Acción","pelicula"
20,"Gladiator","Un general romano traicionado busca venganza convirtiéndose en gladiador.",2000,8.5,"Acción","pelicula"
21,"The Prestige","Dos magos rivales se obsesionan con superar al otro con trucos cada vez más peligrosos.",2006,8.5,"Misterio","pelicula"
22,"Shutter Island","Un detective investiga la desaparición de una paciente en un hospital psiquiátrico en una isla remota.",2010,8.2,"Thriller","pelicula"
23,"Mad Max: Fury Road","En un mundo post-apocalíptico, Max se une a una guerrera para huir de un tirano del desierto.",2015,8.1,"Acción","pelicula"
24,"The Social Network","La historia de cómo Mark Zuckerberg creó Facebook y los conflictos legales que surgieron.",2010,8.3,"Drama","pelicula"
25,"Harry Potter y la Piedra Filosofal","Un niño descubre que es un mago y comienza su educación en Hogwarts.",2001,10,"Fantasía","pelicula"
26,"Las Crónicas de Narnia","Cuatro hermanos descubren un mundo mágico a través de un ropero.",2005,7.9,"Fantasía","pelicula"
27,"The Devil Wears Prada","Una joven recién graduada consigue trabajo como asistente de la editora más temida de la moda.",2006,7.7,"Comedia","pelicula"
28,"Spider-Man: Homecoming","Peter Parker intenta equilibrar su vida como estudiante y su rol como Spider-Man.",2017,7.9,"Acción","pelicula"
29,"Little Women","Las cuatro hermanas March navegan el amor, la pérdida y la independencia en la América de la Guerra Civil.",2019,8.1,"Drama","pelicula"
30,"When Harry Met Sally","Dos amigos se preguntan si un hombre y una mujer pueden ser solo amigos.",1989,8,"Romance","pelicula"
31,"Clueless","Una adolescente popular de Beverly Hills intenta mejorar la vida social de sus compañeros.",1995,7.6,"Comedia","pelicula"
